LOCATION,TIME,BEEF,PIG,POULTRY,SHEEP,BEEF_co2,PIG_co2,POULTRY_co2,SHEEP_co2,total_meat_kt,total_co2_Mt
THA,2013,150.360085351563,941.23008046875,979.757119042969,3.30009995231628,14.957821290773488,11.586542290570312,9.670202764954103,0.13107997010600264,2074.6473848155983,36.34564631640391
THA,2014,143.653115136719,923.449074609375,1068.00913320313,3.30410013923645,14.290611893800808,11.367658108441407,10.541250144714892,0.1312388575304718,2138.4154230884606,36.330759004487575
THA,2015,115.064102990723,913.002114160156,814.933083398438,3.37610016593933,11.446576965517124,11.23905602531152,8.043389533142584,0.13409869859111018,1846.3754007152563,30.863121222562338
THA,2016,116.09710012207,895.9600609375,695.088112695313,3.70510016212463,11.549339520143524,11.029268350140624,6.86051967230274,0.1471665784395903,1710.8503739170076,29.58629412102648
THA,2017,128.831093652344,882.611122949219,620.160073144531,3.38509999046326,12.816117196535183,10.864942923504886,6.12097992193652,0.1344561716212007,1634.9873897365571,29.93649621359779
THA,2018,128.830086572266,883.045143945313,623.150063378906,3.38509999046326,12.816017012209022,10.870285721966804,6.150491125549802,0.1344561716212007,1638.4103938869482,29.971250031346827
THA,2019,129.803402292964,887.72824143862,629.491358007205,3.43507490191322,12.91284246010406,10.927934652109412,6.213079703531113,0.1364411751039931,1650.458076640702,30.19029799084858
THA,2020,131.609079723993,901.323236686677,635.261671985334,3.56467548805492,13.092471250942825,11.095289043612995,6.2700327024952465,0.14158891038554142,1671.758663884059,30.59938190743661
THA,2021,132.820057122654,906.585508594476,641.899818284341,3.73194346576938,13.21293928256162,11.160067610798,6.335551206466445,0.14823279446035978,1685.0373274672402,30.856790894286426
THA,2022,133.393043545731,912.074665426358,648.368093273848,3.83343900684827,13.26993997192932,11.227639131398467,6.399393080612879,0.1522641973520133,1697.6692412527852,31.04923638129268
THA,2023,134.403550609257,919.185080099728,654.612403392715,3.92900542919705,13.370465214608886,11.315168336027654,6.461024421486097,0.15606009564770681,1712.130039530897,31.302718067770343
THA,2024,135.157932423836,927.309774021671,660.788308556266,4.02425603646879,13.445511117523207,11.415183318206772,6.521980605450344,0.15984344976854034,1727.2802710382418,31.542518490948865
THA,2025,135.226699829778,934.420412892293,666.939978306206,4.11421982961913,13.452352099066317,11.502715282704129,6.5826975858822525,0.16341681163247185,1740.701310857896,31.70118177928517
THA,2026,135.471171646647,942.416891865074,673.276337422802,4.20379725353599,13.476672155408446,11.601151938859063,6.645237450363055,0.16697482691044954,1755.3681981880593,31.890036371541015
THA,2027,135.442744899598,948.080691605531,679.643022672055,4.2887156214091,13.47384426261201,11.670873313664087,6.708076633773183,0.17034778448236942,1767.4551747985934,32.02314199453165
THA,2028,135.52014999697,954.365903899302,686.098926328524,4.37365696056044,13.481544521698575,11.748244277000408,6.771796402862532,0.17372165447346066,1780.3586371853564,32.17530685603498
TUR,1990,381.679085595703,0.403100026941299,414.600106103516,362.888100488281,37.96943543506054,0.004962161331647391,4.092103047241703,14.41391535139452,1159.5703922144412,56.48041599502841
TUR,1991,372.965096337891,0.3751,414.312081201172,363.517098291016,37.102567783693395,0.004617481,4.089260241455568,14.438899144119157,1151.169375830079,55.63534465026812
TUR,1992,337.77011953125,0.300100011920929,440.303109033203,360.266091210938,33.601371490968745,0.003694231146746636,4.345791686157713,14.309769142898457,1138.639419787312,52.260626551171654
TUR,1993,334.276100976563,0.214100001549721,459.047097070313,359.373116357422,33.253786525148485,0.002635571019077066,4.530794848083989,14.274300181716802,1152.9104144058476,52.06151712596836
TUR,1994,311.091072900391,0.341099990701675,477.27109609375,324.564125878906,30.947339932130898,0.00419894088553762,4.710665718445312,12.891687079910145,1113.2673948637487,48.553891671371886
TUR,1995,309.377114160156,0.341099990701675,501.300087792969,408.504097802734,30.77683531665232,0.00419894088553762,4.947831866516603,16.225782764724595,1219.5223997465605,51.95464888877906
TUR,1996,323.286110742188,0.110099880194664,427.02207265625,364.842110498047,32.16050229663286,0.0013553295251963141,4.214707857117187,14.491528628982428,1115.2603937766796,50.86809411225767
TUR,1997,384.984108789063,0.0861000401735306,475.715096337891,376.097115380859,38.298219142335995,0.0010598914945361617,4.695308000854984,14.93857742292772,1236.8824205479864,57.93316445761324
TUR,1998,363.564095361328,0.130099965429306,497.289101464844,372.194100244141,36.16735620654491,0.0016015305744347568,4.9082434314580095,14.783549661697279,1233.1773970357424,55.86075083027463
TUR,1999,354.702126367188,0.112100025808811,604.8741234375,366.643105371094,35.28576753100786,0.0013799513177064635,5.970107598328124,14.563064145339853,1326.3314552015906,55.82031922599355
TUR,2000,358.455117089844,0.0770999697804451,666.018105371094,372.987099511719,35.65911504809769,0.0009491006279972792,6.573598700012697,14.81504759260548,1397.5374219424373,57.048710441343864
TUR,2001,333.658120019531,0.0631000382661819,613.305092675781,350.544106347656,33.192309779542946,0.0007767614710566991,6.053321264709958,13.923611904128897,1297.5704190812341,53.17001970985286
TUR,2002,328.865090234375,0.0460999889135361,710.990090234375,332.488106591797,32.71549917651562,0.0005674908635256295,7.017472190613281,13.206427593826179,1372.3893870494605,52.939966451818606
TUR,2003,301.031075341797,0.100100008940697,884.585121972656,311.996102197266,29.94657137500197,0.00123223111005998,8.730855153870115,12.392485179275406,1497.7123995206598,51.071143939257546
TUR,2004,375.9151390625,0.705100042915344,889.43711171875,318.008095605469,37.3960380339375,0.008679781528287885,8.778744292664062,12.63128155744923,1584.0654464296342,58.81474366557907
TUR,2005,327.2081078125,0.410099966621399,936.972084863281,315.052101953125,32.5506625651875,0.005048330589109423,9.247914477600583,12.513869489578124,1579.6423945955273,54.317494862955314
TUR,2006,346.097115380859,1.09009991416931,897.479042871094,315.14511953125,34.429741038087855,0.013419129943424207,8.858118153137697,12.517564147781249,1559.811377697372,55.81884246895022
TUR,2007,431.934090478516,0.62810008058548,1050.06406484375,322.922097070313,42.96880332080277,0.007731911992007259,10.364132320007812,12.82646569563283,1805.5483524731644,66.16713324843542
TUR,2008,374.957100732422,0.0001900000013643,1046.83713613281,320.159127099609,37.30073238086135,2.338900016794533e-06,10.332282533630835,12.716720528396468,1741.9535539648423,60.34973778178866
TUR,2009,322.082070214844,0.0001900000013643,1211.01206289063,299.600075585938,32.04072434497269,2.338900016794533e-06,11.952689060730519,11.900115002273457,1832.6943986914132,55.893530746876685
TUR,2010,652.051064355469,0.0001900000013643,1336.54905019531,274.597084863281,64.86603988208206,2.338900016794533e-06,13.19173912542771,10.90699621076952,2263.197389414061,88.96477755717932
TUR,2011,732.325051171875,0.0001900000013643,1410.72507558594,295.39511953125,72.85169609057813,2.338900016794533e-06,13.923856496033226,11.733094147781248,2438.4454362890665,98.50864907329262
TUR,2012,789.276100976563,0.0001900000013643,1457.10617910156,322.073098046875,78.5171865251485,2.338900016794533e-06,14.381637987732397,12.792743454421874,2568.4555681249994,105.69157030620278
